normalized_part_identifier,raw_examples,occurrences,fieldbeat_task_ids,zendesk_ticket_ids,example_part_names,current_match_status,current_match_method,suggested_action,manual_dolibarr_product_id,manual_dolibarr_ref,review_notes
10LITROS,10 Litros,1,440,,Agua Bidestilada,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
5333541,533-3541,1,431,,LM2594HVN,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
F8915,F8915,1,449,,"4 Transistores de potencia BU508V F8915, SELLO DE CAÑERÍAS, teflón ",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
2622855188381015076,"-262285518838
-1015076",1,462,,"-DRIVE BELT
-CABLE RETRACTIL SK2",MATCHED,REF_LIKE,Revisar manualmente.,,,
55329024004RELEAUXSERIE552P10ABOB24VDC,"55.32.9.024. 004 Rele Aux. serie ""55"" 2P. 10 A.  Bob 24 Vdc.",1,480,,Relay Finder,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
UUY,uuy,1,500,,jj,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1532434ISS01,"1532434  Iss. 01
",1,513,,"Vacuum pump PSU.

S/N 153243417003.
",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133902234,4513 390 2234.,1,541,,PCB Driver 33B.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
KBC500850AMP,KBC 5008 (50 Amp.),1,541,,Puente rectificador.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1015229,1015229,1,547,,nueces cortas de laminas,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SN040104285,SN: 040104285,1,524,,Laser Sagital,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SN002148002,SN: 002148-002,1,524,,Laser Fijo lado B,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SN002148001,SN: 002148-001,1,524,,Laser Fijo lado A,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SN029488019,SN: 029488-019,1,524,,Control de Mando de Laser,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
677,677,1,576,,bbb,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
150044502,1500445 02,1,599,,DLG PCB,MATCHED,REF_LIKE,Revisar manualmente.,,,
NOTIENE,No tiene,1,605,,"Acido EDTA, tetrasodico.",PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,Valor placeholder (sin numero/serie/N-A). Confirmar que no requiere match real.,,,
45133904984,45133904984,1,608,,PCB SIDE B mesa precise,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
4B1915P25633,4B1915P25633,1,633,,UPS APC 959VA,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
153360401151183302151160601,"1533604-01
1511833-02
1511606-01",1,635,,"Transformador de pulso
cable de Alta tension de modulador
resistencia Transformador de pulso.",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
300GB,300gb,1,637,,Disco Duro HP,MATCHED,REF_LIKE,Revisar manualmente.,,,
LASERODIKIT,Laser ODI KIt,1,643,,1502613,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133304800SERIE2676,4513 330 4800 serie 2676,1,645,,Gun Assy,MATCHED,REF_LIKE,Revisar manualmente.,,,
1502964REPUESTODECLIENTE,1502964 (repuesto de cliente),1,651,,repuesto de CLIENTE,MATCHED,REF_LIKE,Revisar manualmente.,,,
130144,130144,1,671,,Canister filter bag,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1021026,1021026,1,677,,"Assy, Ruby. ",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
BJ59481681026469,BJ5948.168. (1026469),1,654,,Dose board.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1534598,1534598,1,655,,Kit de leaf motor,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
4513390489402,4513390489402,1,657,,"PCB1, SIDE A, ASSEMBLY",MATCHED,REF_LIKE,Revisar manualmente.,,,
1007288SERIE2308926,1007288 serie: 2308926,1,658,,Detector Control Board,MATCHED,REF_LIKE,Revisar manualmente.,,,
BJ6219002,BJ6219.002,1,667,,Arm Cable-B,MATCHED,REF_LIKE,Revisar manualmente.,,,
B625655182,B625655182,1,686,,Balanza Metler Toledo WM6002,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133411848,45133411848,1,742,,cable Sk7A,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
CABLESUSTITUTO,Cable sustituto.,1,743,,_ Cable de HT.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133327663,45133327663.,1,744,,Projector mirror.,MATCHED,REF_LIKE,Revisar manualmente.,,,
244120001143,244120001143,1,754,,Gabinete Iview MK-6,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1519103REV02,1519103_Rev02,1,768,,Dosimetry Board A Programmed,MATCHED,REF_LIKE,Revisar manualmente.,,,
1501074REV02,1501074 Rev. 02,1,785,,"PCB ASSEMBLY, DOSIMETRY B",MATCHED,REF_LIKE,Revisar manualmente.,,,
1016850,1016850,1,798,,MLC Camera Cable,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133302156,45133302156,1,803,,gearbox,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1517618,1517618,1,813,,control FKP,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
ZQEXBEH8TE46GHJK2EXZX8CVBNMQQ2,"zQeXBE,H8):Te'46ghjk2(Exzx8cvbnmqq2]",1,820,,"No Corresponde, sólo caracterización de Nva. Licencia y configuraciones del especialista.",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
PN45133308530,PN  4513 330 8530,1,824,,Magnetron e2V MG6370E.  Número de serie  18388765.,MATCHED,REF_LIKE,Revisar manualmente.,,,
1516728VS02,1516728 vs 02,1,828,,BMDM - DVD Update de FCO IGUIDE,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1010461,1010461,1,855,,Cab Assy,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
P01366B21,P01366-B21,1,864,,HPE 96W Smart storege battery,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
749796,749796,1,864,,"HPE SMART ARRAY, adtive raid on",MATCHED,REF_LIKE,Revisar manualmente.,,,
45133318950,4513 331 8950,1,865,,Freno X Longitudinal de camilla,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
BJ598905143924011013627401103,"BJ5989.051
4392401101
3627401103",1,868,,"95 mm Flexible RF
R.F. Seal 6268
O-ring 101x75 FPM",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
45133412203ISSUE01,45133412203 issue 01,1,871,,"Sk19 - sk13A - sk3(A,B,C,D)",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
232266153211,2322 661 53211,1,875,,Thermistor PTC TH1,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1538489REV02,1538489 REv 02,1,897,,PCB Video XVI y PCB DLG's,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
PN1015075PN1015076PN8113024252101J,"P/N 1015075
P/N 1015076
P/N 8113024252101J",1,904,,"01 cinta SK25AA
01 cints SK25BB
01 leadscrew assembly",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
451339090254513332644304F,"45133909025
4513332644304F",1,883,,"02 Motor Driver Board
06 Motor Assembly",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
45133412203,45133412203,1,886,,Cable SK19 Touchguard para Panel KV,MATCHED,REF_LIKE,Revisar manualmente.,,,
4513390460,4513390460,1,924,,Tarjeta de control de IviewGt,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
4513390560,4513390560,1,925,,Tarjeta dd mando Iviewgt,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1516657,1516657,1,926,,Lesf Motor Drive PCB,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1010460,1010460,1,927,,cable assy,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
NU,N/U,1,928,,N/U,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
NUTILIZADO,N/ utilizado,1,939,,N/ utilizado,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
WATERVALVE1022595FRUXYDRIVEUNIT45133318440,"water Valve 1022595
Fru XY drive Unit 45133318440",1,989,,"water Valve - 1
Fru XY drive Unit - 1

",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
101647415384891527044,"1016474
1538489
1527044",1,1005,,"kit, spares, dlg bra (2)
pcb assy, dlg and diaphram drive (1)
programmed pcb assy, router (1)
",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133317815,45133317815,1,1009,,csk scr m4 (tornillo)  cant 1,MATCHED,REF_LIKE,Revisar manualmente.,,,
REEMPLAZOPORUNOSIMILARCARACTERISTICASPERNERIA,Reemplazo por uno similar características perneria.,1,1021,,Perno Hex. 5/8 Grado 8,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
MG6070ESERIE21051168,MG6070E SERIE: 21051168,1,1054,,Magnetron,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
8113024252145133326443,"81130242521
45133326443",1,1064,,"leadscrew Assy
motor assembly",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
XD12038A2HS,XD12038A2HS,1,1067,,4 Ventiladores de 220V/50Hz,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1021309,1021309,1,1073,,Wedge PCB,MATCHED,REF_LIKE,Revisar manualmente.,,,
31800000643,31800000643,1,1077,,Filtro superior DUG B SP 519 H14,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
22222,22222,1,1090,,Repuesto 1,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SINPARTNUMBER,Sin part number,1,1093,,Insumo,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1533330,1533330,1,1099,,"Fru, Z motor brush Set",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1500443,1500443,1,1099,,LED PCB Rev. 2,MATCHED,REF_LIKE,Revisar manualmente.,,,
1006860153836145133400146,"1006860
1538361
45133400146",1,1126,,"Dos Bombas Ionicas
Un Drift Tube 
un Fly Tube
sellos de Drift Tube",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
4513335408510084614513390804410154591013485,"45133354085
1008461
45133908044
1015459
1013485",1,1130,,"Mother board
Control Processor PCB
Serial link Isolation PCB
Linac Interface PCB
Cable Sata",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
10150751015076,1015075 / 1015076,1,1133,,(2) CABLE RETRACTILE SK25A Y SK25B,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
CR2032,CR2032,1,1133,,(2) Pilas,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
EL469506,EL469506,1,1141,,Framegrabber for Iview,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
NUMERODEPARTEDELREPUESTO,numero de parte del repuesto,1,1146,,nombre del repuesto usado,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
DIODE1018874,Diode 1018874.,1,1161,,2 diodos de Rf. Thyratron usada.   PCB SIB usada.,MATCHED,REF_LIKE,Revisar manualmente.,,,
MG6363,MG6363.,1,1163,,Magnetron usado.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1020890,1020890,1,1170,,Motor Drive PSU Assy,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SNPARTE,S/N Parte.,1,1177,,CARBONES PARA MOTOR,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1540453,1540453,1,1179,,BMDM Upgrade KIT,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
4513332647545133326443041015075101507681130242521451333178814513331886445133316442301,"4513 332 6475
4513 332 644304
1015075
1015076
81130242521
4513 331 7881
4513 331 8864
4513 331 6442301",1,1181,,"nut: 04
motor assembly: 04
cable retráctil sk26A: 01
cable retráctil sk26B: 01
tornillo leadscrew: 04
pot fine: 02
pot checo and coarse: 08
filtro de Agua: 02
grasa EP2
wd-40
Aire comprimido.
",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
13101900,13101900,1,1207,,"PCB ASSY, WEDGE CONTROL ",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1010925,1010925,1,1252,719418,"screen assy, head   (crosswire)",MATCHED,REF_LIKE,Revisar manualmente.,,,
151169302,1511693 02,1,1255,465221,FRU CHARGING HIGH VOLTAGE CAB,MATCHED,REF_LIKE,Revisar manualmente.,,,
151971001,1519710 01,1,1255,465221,FRU FIR HT CABLE,MATCHED,REF_LIKE,Revisar manualmente.,,,
1011035,1011035,1,1262,,Motor Z Precise Table,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
451362610002,451362610002,1,1269,434875,Longitudinal drive belt  (2),MATCHED,REF_LIKE,Revisar manualmente.,,,
64607EFM,64607 EFM,1,1307,00000,NR 2 LAMPARAS HALOGENO 8V 50 W OSRAM,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
103868401,1038684 01,1,1358,481510,"PCB ASSY, BACKPLANE",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
451333265901010495845133327663451333276624513332644381130242521,"4513 332 6590
10104958
4513 332 7663
4513 332 7662
4513 332 6443
81130242521",1,1360,,"01 cámara lens
01 cámara mirror
01 proyector mirror
01 bean Spitzer mirror
01 motor assembly (lámina 17) 
01 tornillo leadscrew (lámina 17)
kit de limpieza para optica
grasa Ep2

",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
4513317881,4513317881,1,1369,779906,Potenciometros camilla Lado A,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1534959,1534959,1,1371,148260,"Kit, spares, Leaf motor ",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
MIRRORASSEMBLY,Mirror Assembly,1,1372,517136,1010848,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
THYRATRONDECLINICA,thyratron de clínica,1,1397,9999,N/A tipo (CX1154L) Serial number: 42100,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1531851,1531851,1,1398,704250,1u Fru XY drive (motor lateral de camilla),NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
451333164424513331644245133317881,"4513 331 6442
4513 331 6442
4513 331 7881",1,1421,,"01 Potenciómetro Coarse
01 Potenciometro Check
01 Potenciometro Fine
Grasa EP2
limpia contactos 
aire comprimido 
amarras plásticas ",MATCHED,REF_LIKE,Revisar manualmente.,,,
45133904654ISS02,4513 390 4654 Iss. 02,1,1422,706651,"PCB Leaf motor drive, reparada por cliente. ",MATCHED,REF_LIKE,Revisar manualmente.,,,
RECTIFIERMODULEPCB,rectifier module PCB,1,1428,777777,45133904214,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
AS2106193185AS2106193161,AS2106193185 / AS2106193161,1,1436,100002,2 NR UPS 1Kva 230v,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1537080,1537080,1,1499,417278,"FRU, EIM Logic Control",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
PNBJ7099001PN1006059,"P/N BJ7099.001
P/N 1006059",1,1522,,"02 Ion Chamber
02 BMEI Dose Board",MATCHED,REF_LIKE,Revisar manualmente.,,,
1538,1538,1,1526,0101,PCB DLG motor drive,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
1584,1584,1,1552,152475,"Kit, motor lámina",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1549509,1549509,1,1579,727739,mod kit integrity R4.0.0,MATCHED,REF_LIKE,Revisar manualmente.,,,
1539233,1539233,1,1579,727739,"software medi kit, NSS 4.0",MATCHED,REF_LIKE,Revisar manualmente.,,,
45133326443081130242521,"451333264430
8113024_2521",1,1580,,"01- motor assembly
01- leadscrew Assy",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133412013,45133412013,1,1581,,Detector Sync,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
101672,101672,1,1588,906153,"Kit, spares Diaphragms Brakes (r)",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1018599,1018599,1,1611,777777,lmd fan and bracket (cantidad =2),NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1535958,1535958,1,1626,,Motor de Kit Leaf Spare,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
BJ5948071,BJ5948.071,1,1632,,TARJETA DCMD-3,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
4513331845003,4513331845003,1,1640,620100,fru stop motor switch.    cantidad=2,MATCHED,REF_LIKE,Revisar manualmente.,,,
6064008SERIENEB077,"6064.008 
Serie N: EB 077",1,1647,,Magnetron Tuning Drive Assembly,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
2178574,2178574,1,1661,,Termo Radiador,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1511326SNEB247,"1511326
s/n EB247",1,1719,,Magnetron Tuning Drive Assy,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1020469SERIES51220205217363,"1020469
series 5122020 - 5217363",1,1720,,Dose Board,MATCHED,REF_LIKE,Revisar manualmente.,,,
BJ5590002SERIESCHA0731CHA0750,"BJ 5590.002
series:
CHA0731
CHA0750",1,1721,,Ion Chamber,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45136261003J,45136261003J,1,1728,0101,Belt timing s/sided Cant: 02,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
4513341184645133412203,45133411846/45133412203,1,1741,0000,"cable touchguard , cable lateral pots",MATCHED,REF_LIKE,Revisar manualmente.,,,
451333165177,451333165177,1,1767,444689,Thyratron,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
SAT53418049,SAT-53418049.,1,1774,904418,Power Supply.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1541653151509845133304800PSU10238301525429,"1541653
1515098
45133304800

psu (1023830 - 1525429)",1,1804,893689,"drift tube assembly cant 1
ion pump                    cant 1
electro gun assy.      cant 1
sellos de cobre.        cant 4
assembly,160 mlc psu.  cant 1",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
100880440,100880440,1,1820,,"voltage regulador, PCB assy",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1542467,1542467,1,1828,777777,"PCB ASSY, LED Control",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133317849451333178501016984451333179024513331784045133318462451333184854513331848645133318488,"45133317849
45133317850
1016984
45133317902
45133317840
45133318462
45133318485
45133318486
45133318488",1,1858,,"PCB Interconnect PCB 811
PCB Interconnect PCB 812
ISO Rotation Brake
Fine potentiometer
Check and coarse potentiometer 2 NR
Power supply EIM
Base to EIM cable SKT810A-PL801A
Base to EIM cable SKT810B-PL801B
Base to EIM cable SKT810E-PL801E",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
ASSY40X40X10MMFAN,"assy, 40x40x10mm fan",1,1895,693481,1024939,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
AMBOSREPUESTOSDECLINICA,ambos repuestos de clínica,1,1902,9999,"pcb leaf motor drive
motor ",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133326443,45133326443,1,1903,455697,Motor Assembly,MATCHED,REF_LIKE,Revisar manualmente.,,,
00000,00000,1,1906,603295,Freno lateral de camilla,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
151186215336571535807,"1511862
1533657
1535807",1,1911,,"06 tarjetas AI-12
01 mod kit integrity R4.0.0 con patch 4.0.4
01 mod kit Transformador T2 thyratron y thermistor",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
1511862100503210050334513330757703L,"1511862
1005032
1005033
4513330757703L",1,1913,910599,"pcb assy, ai12 bit cant =2
signal condition RHCA-A cant=1
signal condition RHCA-B cant=1
cable assembly cant=2",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
153458,153458,1,1968,,"Kit, Spares, Leaf Motor  cant 4",MATCHED,REF_LIKE,Revisar manualmente.,,,
ZD6A14332EL02EZ,ZD6A143-32EL02EZ,1,1978,,Impresora Zebra ZD621,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
355370,355370,1,1995,,Gun Filament,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1015403,1015403,1,2007,450927,vessel,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
15341911534195,"1534191
1534195",1,2046,761642,"Fru pcb, side A cant=1
Fru pcb, side B cant =2",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
451333268543501HBYL203L,"45133326854
3501H-BYL-203L",1,2075,,"Mout Mirror 
potenciometro check 10 turns",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1543958,1543958,1,2083,0101,Leaf Mo.  Cant: 2,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133502026150261315058911538094,"45133502026
1502613
1505891
1538094",1,2088,743842,"x-rays tube
laser ODI spares kit
spec, sfhr400, kv gen
control board, kv gen",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
451333178494513331785010169844513331848545133318486451333184884513331848745133318489,"45133317849
45133317850
1016984
45133318485
45133318486
45133318488
45133318487
45133318489",1,2170,,"PCB 811 INTERCONNECT LADO B
PCB 812 INTERCONNECT LADO A
ISO ROTATION BRAKE
CABLE SKT 810A-PL801A
CABLE SKT 810B-PL801B
CABLE SKT 810E-PL801E
CABLE SKT 810C-PL802C
CABLE SKT 810F-PL802F",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
4513341185001U4513341184601U,"4513341185001U
4513341184601U",1,2173,303706,cable PL9 y PL5,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
26786,26786,1,2203,,jfkgkgkf,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
3678,3678,1,2203,,bfjkfkf,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
256774,256774,1,2203,,jfifkfof,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
T0001098601L1,T00010986-01-L1,1,2219,,Soporte Jeringa 5ml,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1234567890,1234567890,1,2229,,Sensor viales,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
123456,123456,1,2230,125896,Repuesto,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
153185815318551531854,"1531858
1531855
1531854",1,2271,151048,"fru Z mov. coarse pot
fru Z mov. check pot
fru Z mov. fine pot",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
HANDHELDCONTROLLER,Hand Held Controller,1,2277,813919,1009089,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
2222,2222,1,2293,,sib pcb,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1521192,1521192,1,2367,,"KIT, TOUCHGUARD MECHANISM ASSEMBLY, M4",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
106053,106053,1,2380,,tarjeta SMC,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
L13896001,L13896-001,1,2395,823383,HP Z2 Ventilador GPU,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
C06534100608,C065341-00608,1,2418,668704,PCB CONTROL DE ODI,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
420,420,1,2419,764386,UPS Smart APC,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
