normalized_part_identifier,raw_part_identifier,part_name,occurrences,matched_count,placeholder_count,no_match_count,ambiguous_count,dolibarr_refs,dolibarr_product_ids,match_statuses,match_methods,needs_manual_review
1014474,1014474,Cable asst Sw1/Sw2 to Sk13A7|cable assy sw1/sw2|CABLE ASSY SW1/SW2|cable assy SW1 SW2|Cable assy sw1/sw2|cable assy sw1/sw2 to sk13A7,6,6,0,0,0,1014474,11677,MATCHED,REF_EXACT,false
1015076,1015076,"Cable Rectractile SK26B|cable retractile|Cable, retractile, MLC (SK25BB-SK26B)|cable, retráctile, MLC sk25bb - sk26b|CABLE RETRACTILE (SK25BB-SK26B)|cable retractile, (SK25BB-SK26B)",6,6,0,0,0,1015076,10957,MATCHED,REF_EXACT,false
1015075,1015075,"Cable Retractile SK26A|cable retractile|Cable, retractile, MLC (SK25AA-SK26A)|cable, retráctile  MLC sk25aa - sk26a |CABLE RETRACTILE (SK25AA-SK26A)|Cable, retractile MLC (SK25AA-SK26A)",6,6,0,0,0,1015075,10958,MATCHED,REF_EXACT,false
4513341184601H,4513341184601H,"cable assy, pl5 to S  (1)|Cable Assy PL5|Cable Assy, PL5 to SK5A|cable assy, PL5 to SK5A|cable assy, pl5 to sk5A|CABLE ASSY, PL5 TO SK5A",6,6,0,0,0,45133411846,11694,MATCHED,REF_LIKE,true
1022378,1022378,"diode assembly, fru cantidad 1|DIODE ASSEMBLY, FRU|Assy diode reverse|DIODE (SEMIKRON)",6,6,0,0,0,1022378,11627,MATCHED,REF_EXACT,false
1522567,1522567,RF output windows cant=1|Output Window|RF OUTPUT Window|RF OUTPUT WINDOW|RF OUTPUT WINDOWS|RF Output Window,6,6,0,0,0,1522567,12044,MATCHED,REF_EXACT,false
1565768,1565768,"pcb assy camera ccu|PCB ASSY, CAM AGILITY |pcb assy can|pcb CCU|PCB ASSY, CAM CID8726DX9|camera CCU PCB",6,6,0,0,0,1565768,10151,MATCHED,REF_EXACT,false
COMPLETARSOLOPORINGENIERODESERVICIO,completar solo por ingeniero de servicio.,completar solo por ingeniero de servicio.,6,0,0,6,0,,,NO_MATCH,NONE,true
1564361,1564361,"programemed pcb assy router|programmed PCB assy Router|PROGRAMMED PCB ASSY, ROUTER|PROGRAMED PCB ASSY, ROUTER|PROGRAMMED PCB ASSY, ROUTE",6,6,0,0,0,1564361,11038,MATCHED,REF_EXACT,false
4714201102,4714201102.|4714201102,"Magnetròn MG5193.|Magnetron MG5193 
S/N 22390742G|MAGNETRON MG5193|Magnetron|Magnetròn  MG5193 Serie 25458133G",5,5,0,0,0,4714201102,11286,MATCHED,REF_NORMALIZED_EXACT|REF_EXACT,false
45133502026,45133502026|45133502026.,"X RAY TUBE Assembly|X Ray tube.|Assembly, Xray Tube|assembly, xrays tube|Tubo de RX",5,5,0,0,0,45133502026_usado,12138,MATCHED,REF_LIKE,true
SINNUMERODEPARTE,Sin número de parte|sin número de parte,Soldadura de estaño y componente Wulf|Seguro Zagers de 10 mm|Sin repuesto|Cable alternativo de HT,5,0,0,5,0,,,NO_MATCH,NONE,true
4513341185001U,4513341185001U,"Cable  Assy, Pl9 to S|Cable Assy PL9|cable assy, PL9 to SK9A 1/2 |CABLE ASSY, PL9 TO SK9A1/2",5,5,0,0,0,4513341185001U,11682,MATCHED,REF_EXACT,false
1011030,1011030,"Lens, Collimator|lens, collimator|LENS, COLLIMATOR|Les",5,5,0,0,0,1011030,11035,MATCHED,REF_EXACT,false
1541744,1541744,"FRU Kit, Hand Held Controller |HAND HELD CONTROLLER|Fru Kit VersaHD HHC|Handheld IviewGT|Hand Held Controller",5,5,0,0,0,1541744,11817,MATCHED,REF_EXACT,false
1564281,1564281,"pcb assy, wedge cont |PCB, assy, wedge control |PCB ASSY, WEDGE CONTROL|wedge board",5,5,0,0,0,1021309___1564281,10764,MATCHED,REF_LIKE,true
1549950,1549950,HHC KIT SYBERGY/INFINITY|HHC KIT SYNERGY / INFINITY|HHC KIT SINERGY/INFINITY|HHC KIT SYNERGY/INFINITY,5,5,0,0,0,1549950,12134,MATCHED,REF_EXACT,false
1565835,1565835,"Kit spare, Diaphragm Brake |kit spares diaphragm brake|KIT, SPARE DIAPHRAGM BRAKE",5,5,0,0,0,1565835,11031,MATCHED,REF_EXACT,false
45133308530,45133308530,Magnetron MG6370E.  Serie 18088055|magnetron|new fast tune magnetron - número de serie:17337594|Magnetron  MG6370,4,4,0,0,0,45133308530,11007,MATCHED,REF_EXACT,false
923931518204,9239 315 18204,"Ampolleta PHILLIPS 13,8V50W.  GX5.3.    N/P. 13289.|Projector halogen bulb|Ampolleta PHILLIPS",4,4,0,0,0,923931518204,11448,MATCHED,REF_NORMALIZED_EXACT,false
NONE,None|none,None|none,4,0,4,0,0,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,true
1502964,1502964,"Kit de luz de campo LED|Spare kit Led Field lamp|Kit led|Spare kit, Led Field Lamp",4,4,0,0,0,1502964,10892,MATCHED,REF_EXACT,false
45133326854,45133326854|45133326854.,mylar|Mirror assembly (Mylar).|Mirror assembly (Mylar)|MOUNT MIRROR,4,0,0,0,4,,,AMBIGUOUS_MATCH,REF_LIKE,true
1016472,1016472,"diaphragm brake x 2 unidades|2x Diaphragms Brake Spare|kit, spares, diaphragm brake  cant(2)|2 Kit spares, Diaphragms brake ",4,4,0,0,0,1016472_usado,11874,MATCHED,REF_LIKE,true
1516727,1516727,"Beam Mu Dose Module|kit, beam mu dose module |KIT, BEAM MU DOSE MODULE",4,4,0,0,0,1516727,18,MATCHED,REF_EXACT,false
1016478,1016478,"1Nr. Leaf key spares long.|(1) Kit, Spares, Moduled|Kit, Spares moulded keys  cant 1|Kit, Spares, Moulded (03)",4,4,0,0,0,1016478,10946,MATCHED,REF_EXACT,false
45133164423,45133164423,Filtre Element|2 unidades Water filter|filter element (x2)|Filter element Cant: 2,4,4,0,0,0,4513316442301M,10312,MATCHED,REF_LIKE,true
45133164421,45133164421.|4513 316 4421|45133164421,"Potentiometer,  20K, 10 turns.|Potentiomete, 20K, 10 Turns.|1 NR Potenciometro 20 K, 10 turns|POTENCIOMETER 20K",4,4,0,0,0,4513316442101T,10986,MATCHED,REF_LIKE,true
1007288,1007288,"PCB DCB|PCB KV DCB|PROG ASSY, KV DCB",4,4,0,0,0,1007288,10721,MATCHED,REF_EXACT,false
019149,019149,Canister Filter|Filtro Canister|Filtro canister|Filtro Canistar,4,4,0,0,0,019149,11225,MATCHED,REF_EXACT,false
1511862,1511862,"AI12 PCB|PCB ASSY, AI12 BIT, PROGRAMMED|(4) AI12 PCB|pcb assy ai12 bit",4,4,0,0,0,1511862,10121,MATCHED,REF_EXACT,false
45133164412,45133164412,"Potentiometer, 20k, 1 turn Fine(1)|Potenciómetro single turn 66575-ZUP-203|Fine potetiometer, 20k, si gle turno|POTENCIOMETER, 20K, SINGLE",4,4,0,0,0,4513316441202U,10990,MATCHED,REF_LIKE,true
1549816,1549816,LOWARA PUMP FRU|Bomba de Agua LOWARA|LOWARA PUMP|Lowara Pump,4,4,0,0,0,1549816,10416,MATCHED,REF_EXACT,false
1501074,1501074,"PCB Assembly, Dosimetry B|PCB ASSEMBLY, DOSIMETRY B (DOSE-B)|PCB ASSY, DOSIMETRY B|DOS B",4,4,0,0,0,1501074,11487,MATCHED,REF_EXACT,false
1551103,1551103,"mod kit/03 disc spring|mod kit, disc spring cant=2|mod kit, disc spring|Mod kit /03 DISC SPRING",4,4,0,0,0,1551103,12147,MATCHED,REF_EXACT,false
4513316442101T,4513316442101T,"Potentiometer 20K, 10T|Potenciometro 20K|potentiometer, 20k,10T|POTENCIOMETER, 20K, 10T",4,4,0,0,0,4513316442101T,10986,MATCHED,REF_EXACT,false
1548845,1548845,"Assembly, Xray tube varex|X-RAY TUBE ASSEMBLY|X-Ray Tube|Assembly, X-RAY tube Varex",4,4,0,0,0,1548845,10615,MATCHED,REF_EXACT,false
1550513,1550513,"extended imaging module XIM|extenderd imaging module ( xim)|EXT. IMAG. MOD (XIM), ASSY|EXT. IMAG. MOD. (XIM), ASSY",4,4,0,0,0,1550513,11029,MATCHED,REF_EXACT,false
1531790,1531790,"X Y Check or coarse Potentiometer|FRU X, Y, ISO CHECK PO|coarse potenciometer eje longitudinal camilla|check potenciometer eje longitudinal camilla",4,4,0,0,0,1531790,11015,MATCHED,REF_EXACT,false
1023530,1023530,Arm control board.|Arm Control Board - IviewGT|arm control board,3,3,0,0,0,1023530,10389,MATCHED,REF_EXACT,false
NOHSY,no hsy|No hsy,no hsy|No hay|no hay,3,0,0,3,0,,,NO_MATCH,NONE,true
1018874,1018874,"Diode SI 1N416CM-D023|DIODE, SI 1N416CM-D023",3,3,0,0,0,1018874,11757,MATCHED,REF_EXACT,false
45133308790,4513 330 8790|45133308790,Transformador del Gun|transformer gun|Transformador.del gun,3,3,0,0,0,45133308790,10970,MATCHED,REF_NORMALIZED_EXACT|REF_EXACT,false
1500998,1500998,Projector Led Assy Led|LED Projector|Led UV AGILITY,3,3,0,0,0,1500998,10769,MATCHED,REF_EXACT,false
BJ485322202,BJ4853.222.02,Cable assy  SK25E.|Cable Assy SK25E.|Cable Assy SK25E,3,3,0,0,0,BJ4853.222.02,11072,MATCHED,REF_EXACT,false
BJ485322302,BJ4853.223.02.|BJ4853.223.02,Cable assy SK25F.|Cable Assy SK25F.|Cable Assy SK25F,3,3,0,0,0,BJ4853.223.02,11073,MATCHED,REF_NORMALIZED_EXACT|REF_EXACT,false
45133411850,45133411850,"cable PL9|Cable Assy, PL9 to SK9|cable assy PL9 to SK9A1/2",3,0,0,0,3,,,AMBIGUOUS_MATCH,REF_LIKE,true
1535987,1535987,"tarjeta Dose Board|FRU, DOSE BOARD|1 NR Dose Board",3,3,0,0,0,1535987,11480,MATCHED,REF_EXACT,false
451362610003J,451362610003J,"(cantidad=2) BELT, TIMING, S/SIDED|belt, timing, s/sided cant=2|BELT, TIMING, S/SIDED",3,3,0,0,0,451362610003J,10998,MATCHED,REF_EXACT,false
1016518,1016518,Detector Panel PSU (XRD -EPS)|Detector Panel PSU (XRD- EPS)|detector panel PSU,3,3,0,0,0,1016518,11006,MATCHED,REF_EXACT,false
1532627,1532627,FRU GUN FILAMENT PSU,3,3,0,0,0,1532627,11681,MATCHED,REF_EXACT,false
039991290,03-999-1290,"Hexa POD, Handheld Controller|Handheld hexapod (TM)|HEXAPOD HANDHELD",3,3,0,0,0,03-999-1290,12067,MATCHED,REF_EXACT,false
1505856,1505856,KV generation|X-Ray Generator|MRT 23871 KV GENERATOR 400V,3,3,0,0,0,1505856,12120,MATCHED,REF_EXACT,false
0000,0000,Copla Festo|PCB alimentacion filamento magnetron|Cable de red CAT6,3,0,0,0,3,,,AMBIGUOUS_MATCH,REF_LIKE,true
1505146,1505146,"pcb assembly citb|CITB|PCB ASSEMBLY, CITB",3,3,0,0,0,1505146,10203,MATCHED,REF_EXACT,false
1546731,1546731,"contactor 24 vol 50 Hz 50 amp (con A)|Contactor, 24v, 50hz, 50A, siemens 3rt CON A|CONTACTOR CON A",3,3,0,0,0,1546731,12016,MATCHED,REF_EXACT,false
1024545,1024545,User Interface Side B|USER INTERFACE SIDE B FRU,3,3,0,0,0,1024545,11812,MATCHED,REF_EXACT,false
1526644,1526644,"PCB Assy, Wedge Control |pcb assy, Wedge control |PCB Wedge Control",3,0,0,3,0,,,NO_MATCH,NONE,true
1014204,1014204,Ion Chember Assembly s/n: 07201000163175-2|ion chamber assembly|ION CHAMBER ASSEMBLY,3,3,0,0,0,1014204,10952,MATCHED,REF_EXACT,false
1507972,1507972,Voltaje Regulator PCB|Voltage regulator pcb Assy|Voltage Regulator PCB,3,3,0,0,0,1507972,11308,MATCHED,REF_EXACT,false
080140,080140,FIBER OPTIC FOR INDEXER|Fiber Optic,3,3,0,0,0,080140,12197,MATCHED,REF_EXACT,false
1027687,1027687,detector imaging panel (ap)|Detector imaging panel (AP)|xrd 1642 ap3 kv panel,3,3,0,0,0,1027687,12201,MATCHED,REF_EXACT,false
1553878,1553878,"Z motor abd Brake|Z motor and brake|FRU, Z DRIVE MOTOR/BRAKE ASSEMBLY",3,0,0,0,3,,,AMBIGUOUS_MATCH,REF_LIKE,true
1509023,1509023,"cable assembly, area 60 to area 70|cable assembly, area 60 to 16|cable assembly, area 60 ",3,3,0,0,0,1509023,12216,MATCHED,REF_EXACT,false
1007099,1007099,Longitudinal PCB limit switch assembly|ASSEMBLY LIMIT SWITCH|assembly limit swich,3,3,0,0,0,1007099,11641,MATCHED,REF_EXACT,false
4513341220301G,4513341220301G,"CABLE, T-GUARD AND LAT MOTOR|Cable, T - Guard and L|cable T-GUARD and LAT motor",3,3,0,0,0,4513341220301G,11693,MATCHED,REF_EXACT,false
1569678,1569678,"solenoid m switch kit, arm assy|SOLENOID MICROSWITCH KIT, ARM ASSEMBLY|FCO hardware modkit (solenpid microswitch for imaging Arms",3,3,0,0,0,1569678,12244,MATCHED,REF_EXACT,false
1556286,1556286,diaphragm brakes spare kit|FRU Assembly wegde|Fru assembly Wedge,3,0,0,3,0,,,NO_MATCH,NONE,true
1572991,1572991,FRU Z MTR BRUSH SET (E CRAFT)|FRU Z MOTOR BRUSH SET,3,3,0,0,0,1572991,10978,MATCHED,REF_EXACT,false
0,0,no|no.|N/A,3,0,0,3,0,,,NO_MATCH,NONE,true
1531853,1531853,"FRU X, Y FINE POT.MET|Fine potenciometer eje longitudinal camilla precise|fine potenciometer eje longitudinal camilla precise",3,3,0,0,0,1531853,11014,MATCHED,REF_EXACT,false
1007545,1007545|1007545.,MLC reflector spares kit|Dos reflectores láminas Y1-1 y Y2-1.,2,2,0,0,0,1007545,11569,MATCHED,REF_EXACT|REF_NORMALIZED_EXACT,false
1010495,1010495|1010495.,Camera mirror assemb|Camera mirror,2,2,0,0,0,1010495,11570,MATCHED,REF_EXACT|REF_NORMALIZED_EXACT,false
45133327662,45133327662|45133327662.,Beam Splitter mirror|Beam splitter mirror.,2,2,0,0,0,45133327662,11571,MATCHED,REF_EXACT|REF_NORMALIZED_EXACT,false
1026565,1026565,Temp Controller NSerie 900658090004|Temperature Controler,2,2,0,0,0,1026565,11028,MATCHED,REF_EXACT,false
653950001,653950-001,Disco HP 146GB 15K 6G SFF DÍAS x1|Disco HP 146GB 15K 6G SSF SAS HDD,2,2,0,0,0,653950,11296,MATCHED,REF_LIKE,true
1516753,1516753,"Tarjeta Electrónica Tiratrón Pulser|PCB ASSY, THYRATRON PULSE",2,2,0,0,0,1516753,10793,MATCHED,REF_EXACT,false
1510260,1510260,KV Panel Detector|panel XVI,2,0,0,0,2,,,AMBIGUOUS_MATCH,REF_LIKE,true
1510260R,1510260R,KV Detector Panel|KV Detector Panel (XVI),2,2,0,0,0,1510260R,10703,MATCHED,REF_EXACT,false
13289,13289,Ampolleta Halogena 13.8v 50W|Ampolleta halógeno,2,0,0,2,0,,,NO_MATCH,NONE,true
1507089,1507089,PCB Router|Router PCB,2,2,0,0,0,1507089,11644,MATCHED,REF_EXACT,false
45133501070,45133501070,Pendant - Handheld Controller|hand held controller,2,2,0,0,0,45133501070,10566,MATCHED,REF_EXACT,false
R1510260,R1510260,Panel XVI|Panel de XVi,2,2,0,0,0,R1510260,11815,MATCHED,REF_EXACT,false
45133305658,4513 330 5658|45133305658,Multiplex Terminal Unit (MTU).  N/S 2115995|Multiplex Terminal Unit (MTU) - Cantidad 2,2,2,0,0,0,45133305658_usado,11864,MATCHED,REF_LIKE,true
4513332644304F,4513332644304F,01 Motor Assembly|01 motor Assembly,2,2,0,0,0,4513332644304F,10304,MATCHED,REF_EXACT,false
8113024252101J,8113024252101J,01 Lead Screw Assembly|01 leadscrew assy,2,2,0,0,0,8113024252101J,10325,MATCHED,REF_EXACT,false
1022096,1022096,FAN ASSY 70X70X15MM|Fan Assy 70x70,2,2,0,0,0,1022096,10775,MATCHED,REF_EXACT,false
553290240040,55.32.9.024.0040.|55.32.9.024.0040,Relay Finder 24 Vdc. (proporcionado por clinica)|3 Relayes Finder 24 Vdc.,2,0,0,2,0,,,NO_MATCH,NONE,true
1015493,1015493,Expansión  pressure Vessel|Expansión Vessel,2,2,0,0,0,1015493,12045,MATCHED,REF_EXACT,false
45133411788,45133411788,Longitudinal brake assembly|Brake Assembly,2,2,0,0,0,45133411788,11049,MATCHED,REF_EXACT,false
1532432,1532432.|1532432,Gun filament PSU. N/S 153243219020.|GUN FILAMENT PSU,2,0,0,2,0,,,NO_MATCH,NONE,true
1018121,1018121,Motor de movimiento vertical de camilla|FRU Z Drive,2,0,0,2,0,,,NO_MATCH,NONE,true
45133302802,45133302802,"Motor Assembly, Panc (cantidad 2)|motor assembly, pancake",2,2,0,0,0,45133302802,10997,MATCHED,REF_EXACT,false
2327189,2327189,6 Lámparas UV|Lámparas UV,2,2,0,0,0,2327189,11193,MATCHED,REF_EXACT,false
BJ5590002,BJ5590.002.|BJ5590.002,Ion Chamber. Numero de serie CHA0544.|ION CHAMBER,2,0,0,2,0,,,NO_MATCH,NONE,true
SPN,S/P.N.|S/PN,Cable PL5|Graphite Nut,2,0,0,2,0,,,NO_MATCH,NONE,true
NOUTILIZADO,No utilizado,No utilizado,2,0,0,2,0,,,NO_MATCH,NONE,true
45133416574,45133416574,Microswitch Plunger Assembly|tarjeta micro swich,2,0,0,0,2,,,AMBIGUOUS_MATCH,REF_NORMALIZED_EXACT,true
4513332644381130242521,"45133326443
81130242521","motor assembly
leadscrew assy|MotorAssenbly
Leadscrew Assy",2,0,0,2,0,,,NO_MATCH,NONE,true
45133400146,45133400146,"Slittless flight tube, service spare kit|Slitless flight tube kit",2,2,0,0,0,45133400146,11837,MATCHED,REF_EXACT,false
1023830,1023830,"Assembly, 160MLC PSU, UR SOLUTION|160 MLC PSU",2,0,0,2,0,,,NO_MATCH,NONE,true
45133411940,45133411940,Long (upper) roller-blind assembly (1)|Roller Superior,2,0,0,2,0,,,NO_MATCH,NONE,true
1050661,1050661,detector cable A (C)|Iviewc Cable Cable Detector,2,2,0,0,0,1050661,11379,MATCHED,REF_EXACT,false
1531848,1531848,FRU X Driver (D Shape)|FRU X DRIVE ASSEMBLY (EJE LONGITUDINAL),2,2,0,0,0,1531848,12092,MATCHED,REF_EXACT,false
45133318457,45133318457,"FRU EIM ltu pcb|FRU, RIM LTU PCB",2,2,0,0,0,45133318457,11011,MATCHED,REF_EXACT,false
45133903544,4513 390 3544,SIB PCB,2,2,0,0,0,45133903544_Iss.04,10935,MATCHED,REF_LIKE,true
CF25HA1,CF25HA-1,Obturador de Camara de Video (FUJIFILM)|Obturador de cámara de video (Fujifilm),2,0,0,2,0,,,NO_MATCH,NONE,true
1535807,1535807,"Mod Kit, Transformer, cantidad 1|Mod kit, Transformer thyratron T2 and NTC thermistor",2,2,0,0,0,1535807,11525,MATCHED,REF_EXACT,false
1514986,1514986,Diaphragm PCB|Assy Diaphragms and DLG PCB,2,2,0,0,0,1514986,10131,MATCHED,REF_EXACT,false
1534191,1534191,"PCB 2, Side A, Assembly|PCB 2 SIDE A, Assembly.   Cant: 1",2,2,0,0,0,1534191,11018,MATCHED,REF_EXACT,false
1016984,1016984,Iso Rotation brake|Freno Isorot,2,2,0,0,0,1016984,10906,MATCHED,REF_EXACT,false
P1094996,P1094996,Módulo de Corte de etiquetas|Modulo de corte Zebra Printer,2,0,0,2,0,,,NO_MATCH,NONE,true
45133308034,45133308034,Magnetròn usado MG6363.|MAGNETRON MG6363,2,2,0,0,0,45133308034,12128,MATCHED,REF_EXACT,false
1509024,1509024,"cable assy, Area 60 to plgipi|cable assy, area 60 to PLGIPI1 ",2,2,0,0,0,1509024,12212,MATCHED,REF_EXACT,false
T0001098801NR2,T00010988-01-NR2|T00010988-01-NR-2,Soporte Jeringa 20ml|Soporte de jeringa 50ml,2,2,0,0,0,T00010988-01-NR2,11900,MATCHED,REF_EXACT|REF_NORMALIZED_EXACT,false
BJ3324003,BJ3324.003,Guía de Onda|G/O TB-6U,2,0,0,2,0,,,NO_MATCH,NONE,true
1554784,1554784,camera cable,2,2,0,0,0,1554784,11159,MATCHED,REF_EXACT,false
45133308244,45133308244,"CABLE ASSEMBLY|Cable, Varían IPCU to Varían ion pump",2,2,0,0,0,45133308244,12053,MATCHED,REF_EXACT,false
45133308730,45133308730,HH RECEIVER UNIT|H.H.C RECIEVER UNIT Mk2,2,2,0,0,0,45133308730,12139,MATCHED,REF_EXACT,false
45133318990,45133318990,FRU X-BRAKE|FRU - BRAKE ASSY - x,2,2,0,0,0,45133318990,11161,MATCHED,REF_EXACT,false
45133302612,45133302612,"gearbox & brake, fru |GEARBOX AND BRAKE FRU (REAR)",2,2,0,0,0,45133302612,10995,MATCHED,REF_EXACT,false
1515997,1515997,Thyratron|Thyratron GL1551A,2,2,0,0,0,1515997,12245,MATCHED,REF_EXACT,false
261308039505,261308039505,seal,2,2,0,0,0,261308039505,11840,MATCHED,REF_EXACT,false
1515219,1515219,Gasket 70mm falange copper|gasket 70mm flange,2,2,0,0,0,1515219,11752,MATCHED,REF_EXACT,false
1532592,1532592,BMDM spares kit|BMDM fru kit,2,2,0,0,0,1532592,12268,MATCHED,REF_EXACT,false
45133326590,45133326590,CAMERA LENS ASSEMBLY|Camera Lens Assembly,2,2,0,0,0,45133326590,11568,MATCHED,REF_EXACT,false
1567203,1567203,"Prog. PCB ASSY MTU|PROGRAMMED ASSY, MTU",2,2,0,0,0,1567203,11005,MATCHED,REF_EXACT,false
1569146,1569146,"PCB ARM CONTROLBOARD|Fru, KV ACB programmed ",2,2,0,0,0,1569146,10386,MATCHED,REF_EXACT,false
1070431110777111,"107043-11
107771-11","Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS",1,1,0,0,0,107043,11724,MATCHED,REF_LIKE,true
451333326854,451333326854,"Mout, mirror (mylar)",1,0,0,1,0,,,NO_MATCH,NONE,true
4513332766303F,4513332766303F,proyector mirror Assy,1,1,0,0,0,4513332766303F,11567,MATCHED,REF_EXACT,false
155579,155579,Lens Ricoh FL-Bc1218A,1,0,0,1,0,,,NO_MATCH,NONE,true
MOTORES451333264430TORNILLO8113024252101,"motores: 451333264430
tornillo: 8113024 2521_01",03 motores y 01 tornillo.,1,0,0,1,0,,,NO_MATCH,NONE,true
1347987,1347987,pcb motor drive,1,0,0,1,0,,,NO_MATCH,NONE,true
1018268,1018268,"FRU MOTOR BRUSH SET (ELECTROCRAFT).
",1,0,0,1,0,,,NO_MATCH,NONE,true
669324B21,669324-B21,Memoria HP 8GB PC3-12600 DDR3 ECC x64,1,1,0,0,0,669324-B21,11303,MATCHED,REF_EXACT,false
45143326854451333276624513332766245133164412,"4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412","Mirror Assembly
Beam Spitter Mirror Assy
Beam Spitter Mirror
Fine Pot 20K ",1,1,0,0,0,45133327662,11571,MATCHED,REF_LIKE,true
CAFE2335689,cafe 2335689,Escobas huaipe,1,0,0,1,0,,,NO_MATCH,NONE,true
647907B21,647907-B21,HP 4GB 2RX8 PC3L-10600E MEMORY MODULE (1X4GB),1,0,0,1,0,,,NO_MATCH,NONE,true
C7975A,C7975A,HPE Ultrium LTO-5 3TB RW Data Tape,1,0,0,1,0,,,NO_MATCH,NONE,true
45133318864,4513 331 8864,Potenciometro Check,1,1,0,0,0,45133318864,10981,MATCHED,REF_NORMALIZED_EXACT,false
1505720,1505720,PCB Detector Control Board (DCB),1,1,0,0,0,1505720,10393,MATCHED,REF_EXACT,false
100000001,100000001,barros luco,1,0,0,1,0,,,NO_MATCH,NONE,true
T21321900352,T21321900352,fusible de retardo 10 amp.,1,0,0,1,0,,,NO_MATCH,NONE,true
1526647,1526647,DLG PCB,1,0,0,1,0,,,NO_MATCH,NONE,true
RELAYSINNUMEROMAGNETRONMG5193,"Relay sin numero.

Magnetron MG5193","Relay de 24 Vdc.

Magnetron e2V Teledyne  Número serie 18351056C",1,0,0,1,0,,,NO_MATCH,NONE,true
45133502668102493901,45133502668 / 1024939 01,resorte y ventilador,1,0,0,0,1,,,AMBIGUOUS_MATCH,REF_LIKE,true
451533048000,4515 330 48000,GUN ASSY,1,0,0,1,0,,,NO_MATCH,NONE,true
451333117858,4513 331 17858,FRU ISO ROTATION,1,0,0,1,0,,,NO_MATCH,NONE,true
1017392,1017392,Kit arm actuator,1,1,0,0,0,1017392,11552,MATCHED,REF_EXACT,false
SN91951712,S/N 91951712,Thales TH 7195 B,1,0,0,1,0,,,NO_MATCH,NONE,true
10000956417,1000095641/7,Service Slitless Flight,1,0,0,1,0,,,NO_MATCH,NONE,true
451333041000Y,451333041000Y,Drift Tube,1,1,0,0,0,45133304100,11839,MATCHED,REF_LIKE,true
2456,2456,hhhh,1,0,0,1,0,,,NO_MATCH,NONE,true
1501062,1501062,Pcb logical control unit,1,0,0,1,0,,,NO_MATCH,NONE,true
45133904974,45133904974,PCB2 Thumbwheel Table User Interface Side A,1,0,0,1,0,,,NO_MATCH,NONE,true
160406,160406,Tarjeta Electrónica Generadora de Pulsos PPG,1,0,0,1,0,,,NO_MATCH,NONE,true
01OFELK28113024252101J,01 OF ELK2 / 8113 024 252101j,motor 01of  ELK2 / Tornillo,1,1,0,0,0,8113024252101J,10325,MATCHED,REF_LIKE,true
1509981NUMEROSERIE150998117084,"1509981

Numero Serie 150998117084.",Gun Filament Power Supply.,1,0,0,1,0,,,NO_MATCH,NONE,true
CX1154L,CX1154L,Válvula Electrónica Tiratrón marca Elekta Nro de Serie 38884 (nueva),1,0,0,1,0,,,NO_MATCH,NONE,true
1509981ISS02SN150998117091,1509981. ISS 02.   S/N 150998117091,Gun Filament Power Supply,1,0,0,1,0,,,NO_MATCH,NONE,true
MODELO5295001R001,modelo 5295001R001,Fuente de Bonbas de Vacio,1,0,0,1,0,,,NO_MATCH,NONE,true
TRANSISTORESC3907,Transistores C3907,"Fusible 2Amp. 250V.

4 transistores de potencia. ",1,0,0,1,0,,,NO_MATCH,NONE,true
039991204,03-999-1204,Calibration Tool SN: 2016030911,1,1,0,0,0,03-999-1204,11995,MATCHED,REF_EXACT,false
HNM101MBBZ4,HN-M101MBB/Z4,HDD Samsung 1TB,1,0,0,1,0,,,NO_MATCH,NONE,true
VARTA36VDC150MAH,Varta 3.6 vdc 150mAh,Bateria LCD Dose,1,0,0,1,0,,,NO_MATCH,NONE,true
1007897,1007897,"Spare Kit, cathode filament carrier assy.  ",1,1,0,0,0,1007897,10784,MATCHED,REF_EXACT,false
4513316484002R,4513316484002R,Fusible de 10 amp,1,1,0,0,0,4513316484002R,11977,MATCHED,REF_EXACT,false
12P754WZ058,12P754WZ058,Valvula motora circuito interno de agua,1,0,0,1,0,,,NO_MATCH,NONE,true
IONCHAMBER101420408SIB1006737,"Ion Chamber. 1014204-08

SIB. 1006737","Ion Chamber. Serie 07181000106B40-8

Signal Input Board PCB. Serie 2488895. 
",1,1,0,0,0,1014204,10952,MATCHED,REF_LIKE,true
5295001R001,5295001R001,Ipcu 2 ch  positive,1,0,0,1,0,,,NO_MATCH,NONE,true
1020850SERIALNRO2109688,1020850 serial nro.2109688,Programmed PCB (PPG),1,1,0,0,0,1020850,11004,MATCHED,REF_LIKE,true
1516940,1516940,2 x Leaf Motor Drive Module PCB,1,0,0,1,0,,,NO_MATCH,NONE,true
45133308710,45133308710,Fuente de Poder,1,0,0,1,0,,,NO_MATCH,NONE,true
101674,101674,"2 Nr. Kit spares, DLG Brake. ",1,0,0,1,0,,,NO_MATCH,NONE,true
1015459,1015459,Tarjeta electrónica Linac Interface Board (LIB),1,0,0,1,0,,,NO_MATCH,NONE,true
ATA3004,at-a3004,Filament Driver,1,1,0,0,0,SAT-A3004-10,12080,MATCHED,REF_LIKE,true
